time,cond,f_CO2,dP_dt,dORP_dt,dpH_dt
2026-03-29 02:49,pump_off,0.2,0.01976,-3.4350,0.00422
2026-03-30 07:11,pump_off,0.2,0.02307,-0.9271,0.03752
2026-03-31 12:45,pump_off,0.2,0.01917,-5.8661,0.00082
2026-04-01 13:17,pump_off,0.2,0.02101,0.1547,-0.00650
2026-04-02 13:33,pump_off,0.2,0.01990,-10.5221,-0.00035
2026-04-03 17:28,pump_off,0.2,0.01793,-5.7454,0.00074
2026-04-04 22:09,pump_off,0.2,0.01705,-5.1541,-0.00235
2026-04-06 04:29,pump_off,0.2,0.01755,-63.3712,-0.00539
2026-04-07 11:14,pump_on5,0.2,0.04398,47.3384,-0.00088
2026-04-07 19:22,pump_on5,0.2,0.04697,-10.8422,-0.00003
2026-04-08 03:24,pump_on5,0.2,0.04260,-0.9660,-0.00524
2026-04-08 12:21,pump_on5,0.2,0.04329,-50.6423,0.02554
2026-04-08 21:25,pump_on5,0.2,0.04726,0.1330,0.00725
2026-04-09 08:14,pump_on5,0.2,0.03598,-12.2550,-0.01020
2026-04-09 19:21,pump_on5,0.2,0.03455,-3.0554,0.00003
2026-04-10 07:24,pump_on5,0.2,0.03068,9.3235,-0.00066
2026-04-10 20:38,pump_on5,0.2,0.02856,-10.6325,0.00280
2026-04-11 10:49,pump_on5,0.2,0.03803,-3.6830,0.00936
2026-04-12 02:42,pump_on5,0.2,0.02591,-1.8262,-0.00082
2026-04-12 20:03,pump_on5,0.2,0.03201,-4.7740,0.00415
2026-04-13 13:02,pump_on5,0.2,0.02613,-3.7694,-0.00122
2026-04-14 07:34,pump_on5,0.2,0.02721,-10.7934,-0.00032
2026-04-15 03:32,pump_on5,0.2,0.02527,-21.6749,0.00016
2026-04-16 01:01,pump_on5,0.2,0.02152,-20.2115,-0.00633
2026-07-23 09:04,tau1,0.2,0.01374,46.9174,-0.00548
2026-07-23 14:50,tau1,0.2,0.02587,-24.9241,-0.00140
2026-07-24 03:50,tau1,0.2,0.02444,-14.0891,-0.00259
2026-07-24 16:50,tau1,0.2,0.02395,1.8796,0.00766
2026-07-25 06:49,tau1,0.2,0.02293,-5.3074,-0.00049
2026-07-25 21:50,tau1,0.2,0.02524,-6.2749,0.00609
2026-07-26 12:50,tau1,0.2,0.02047,3.5475,-0.00109
2026-07-27 09:24,tau5,0.2,0.03860,16.4803,-0.00980
2026-07-27 09:24,tau5,0.2,0.03842,16.7714,-0.00954
2026-07-27 16:10,tau5,0.2,0.04531,114.8930,-0.00566
2026-07-27 22:27,tau5,0.2,0.03852,-6.2397,-0.00110
2026-07-28 05:27,tau5,0.2,0.03750,0.5410,0.00111
2026-07-28 12:27,tau5,0.2,0.03900,-7.7844,-0.00137
2026-07-28 19:26,tau5,0.2,0.03340,17.6246,-0.00179
2026-07-29 03:25,tau5,0.2,0.03257,52.0219,0.00053
2026-07-29 11:25,tau5,0.2,0.03655,14.2836,0.00703
2026-07-29 19:25,tau5,0.2,0.03043,22.0437,-0.00645
2026-07-30 04:25,tau10,0.2,0.03808,44.4960,-0.00005
2026-07-30 09:12,tau10,0.2,0.03304,-18.3144,-0.01219
2026-07-30 15:16,tau10,0.2,0.04452,-21.8352,0.00506
2026-07-30 21:16,tau10,0.2,0.03614,-19.6548,-0.00188
2026-07-31 04:13,tau10,0.2,0.03896,-16.0837,-0.00616
2026-07-31 10:14,tau10,0.2,0.03702,31.4788,-0.00687
2026-07-31 16:15,tau10,0.2,0.03449,-26.6067,-0.00208
2026-07-31 23:13,tau10,0.2,0.03712,-12.8623,0.00179
2026-08-01 05:22,tau10,0.2,0.04010,-6.5048,0.00302
2026-08-01 12:17,tau10,0.2,0.03754,-22.9526,0.00748
2026-08-01 19:14,tau10,0.2,0.02867,-37.4685,-0.00518
2026-08-02 02:24,tau10,0.2,0.03861,-19.4118,-0.00095
2026-08-02 10:13,tau10,0.2,0.03462,-30.7183,0.01039
2026-08-02 18:13,tau10,0.2,0.02762,9.2781,-0.00553
2026-08-03 04:36,tau10,0.2,0.02080,-13.0656,0.00772
