time,batch,cond,f_H2,dP_dt,dORP_dt,dpH_dt,A,A_hat,cycle_rate
2026-07-28 05:27,202607至08最新循環研究,tau5,0.8,0.03750,-0.541,0.00111,-14.43,-0.027,0.03434
2026-07-28 12:27,202607至08最新循環研究,tau5,0.8,0.03900,7.784,-0.00137,199.61,0.373,0.03307
2026-07-28 19:26,202607至08最新循環研究,tau5,0.8,0.03340,-17.625,-0.00179,-527.70,-0.985,0.03017
2026-07-29 03:25,202607至08最新循環研究,tau5,0.8,0.03257,-52.022,0.00053,-1597.25,-2.981,0.03255
2026-07-29 11:25,202607至08最新循環研究,tau5,0.8,0.03655,-14.284,0.00703,-390.81,-0.729,0.03004
2026-07-29 19:25,202607至08最新循環研究,tau5,0.8,0.03043,-22.044,-0.00645,-724.36,-1.352,0.02563
2026-07-30 04:25,202607至08最新循環研究,tau10,0.8,0.03808,-44.496,-0.00005,-1168.57,-2.181,0.19986
2026-07-30 09:12,202607至08最新循環研究,tau10,0.8,0.03304,18.314,-0.01219,554.26,1.035,0.04460
2026-07-30 15:16,202607至08最新循環研究,tau10,0.8,0.04452,21.835,0.00506,490.42,0.915,0.04176
2026-07-30 21:16,202607至08最新循環研究,tau10,0.8,0.03614,19.655,-0.00188,543.80,1.015,0.03468
2026-07-31 04:13,202607至08最新循環研究,tau10,0.8,0.03896,16.084,-0.00616,412.87,0.771,0.04164
2026-07-31 10:14,202607至08最新循環研究,tau10,0.8,0.03702,-31.479,-0.00687,-850.42,-1.587,0.04331
2026-07-31 16:15,202607至08最新循環研究,tau10,0.8,0.03449,26.607,-0.00208,771.50,1.440,0.03738
2026-07-31 23:13,202607至08最新循環研究,tau10,0.8,0.03712,12.862,0.00179,346.46,0.647,0.03921
2026-08-01 05:22,202607至08最新循環研究,tau10,0.8,0.04010,6.505,0.00302,162.22,0.303,0.03766
2026-08-01 12:17,202607至08最新循環研究,tau10,0.8,0.03754,22.953,0.00748,611.46,1.141,0.03603
2026-08-01 19:14,202607至08最新循環研究,tau10,0.8,0.02867,37.468,-0.00518,1306.75,2.439,0.03510
2026-08-02 02:24,202607至08最新循環研究,tau10,0.8,0.03861,19.412,-0.00095,502.78,0.938,0.03203
2026-08-02 10:13,202607至08最新循環研究,tau10,0.8,0.03462,30.718,0.01039,887.20,1.656,0.03004
2026-08-02 18:13,202607至08最新循環研究,tau10,0.8,0.02762,-9.278,-0.00553,-335.94,-0.627,0.03254
2026-08-03 04:36,202607至08最新循環研究,tau10,0.8,0.02080,13.066,0.00772,628.15,1.172,0.14663
