起始時刻,時長hr,壓降,pH淨變化,ORP淨變化mV
2025-10-18 12:14,4.85,0.26,0.0508,-165.6
2025-10-18 21:00,2.54,0.2,0.0243,-94.3
2025-10-18 23:36,2.65,0.14,0.0278,-23.1
2025-10-19 07:24,2.74,0.21,-0.0068,-14.2
2025-10-19 22:00,4.52,0.24,0.044,-105.9
2025-10-20 09:16,3.45,0.3,0.0111,0.4
2025-10-20 16:58,4.05,0.15,-0.0092,-24.0
2025-10-20 21:05,2.43,0.11,-0.0,-1.0
2025-10-21 03:08,4.24,0.12,0.0102,4.3
2025-10-21 12:28,3.32,0.53,0.0276,-103.4
2025-10-21 17:57,2.27,0.14,-0.0108,-61.7
2025-10-21 20:17,5.94,0.23,-0.0053,-39.5
2025-10-22 03:02,4.9,0.15,0.0142,-5.6
2025-10-27 15:09,3.79,0.26,-0.0025,-67.7
2025-10-27 18:58,7.17,0.26,-0.0064,-23.9
2025-10-28 04:19,4.72,0.17,0.0,-19.2
2025-10-28 09:03,2.25,0.24,0.005,0.5
2025-10-28 11:19,2.45,0.11,-0.0021,-129.3
2025-10-28 13:53,4.55,0.15,-0.0012,-20.1
2025-10-28 20:01,5.14,0.19,0.0008,-78.8
2025-10-29 02:43,5.07,0.2,0.0012,-96.7
2025-10-29 15:38,5.22,0.2,-0.0023,-30.7
2025-10-30 00:09,3.34,0.13,-0.002,-26.2
2025-10-30 07:14,5.74,0.22,-0.0011,-15.6
2025-10-30 15:14,7.15,0.18,-0.0112,-15.9
2025-10-30 22:25,5.62,0.19,-0.0085,-27.1
2025-10-31 06:27,4.32,0.16,-0.0054,-19.4
2025-10-31 10:52,3.54,0.12,0.0035,-0.9
2025-10-31 14:25,4.89,0.17,0.0002,-17.8
2025-11-01 06:04,4.87,0.18,-0.0052,-169.8
2025-11-01 11:00,3.5,0.11,0.0043,-28.3
2025-11-01 15:53,3.17,0.12,-0.0023,-11.8
2025-11-02 02:12,3.22,0.11,0.0021,-6.4
2025-11-02 07:00,7.91,0.26,-0.0289,-3.5
2025-11-03 08:16,6.79,0.13,0.0148,-5.7
2025-11-04 08:58,6.1,0.11,0.0041,7.0
2025-11-04 15:09,6.55,0.12,-0.0023,-1.3
2025-11-05 22:35,7.07,0.1,-0.0052,-4.1
2025-11-07 18:20,9.14,0.13,0.0095,-3.2
2025-11-08 17:38,10.89,0.15,-0.0015,-9.1
2025-11-10 21:30,7.07,0.1,-0.0033,-8.8
2025-12-22 11:56,5.37,0.12,-0.0021,-20.9
2025-12-22 19:42,6.72,0.19,0.0031,-11.2
2025-12-23 05:49,5.59,0.16,0.0048,-4.6
2025-12-23 11:25,9.04,0.28,0.001,-17.4
2025-12-23 20:29,3.29,0.12,-0.0005,-23.5
2025-12-23 23:52,4.17,0.11,0.0026,-4.2
2025-12-24 06:16,8.96,0.25,0.0008,-20.7
2025-12-24 15:14,5.04,0.15,-0.0037,-23.0
2025-12-25 00:55,9.82,0.27,0.0025,-20.1
2025-12-25 10:46,9.94,0.27,0.0042,-23.9
2025-12-25 21:03,9.89,0.25,0.0028,-148.6
2025-12-26 07:04,9.14,0.65,0.0001,-87.8
2025-12-26 17:00,3.24,0.12,-0.0078,-35.6
2025-12-26 20:53,5.6,0.13,-0.0042,-12.9
2025-12-27 11:16,8.99,0.28,0.0014,-18.2
2025-12-27 20:17,4.52,0.16,-0.0034,-40.1
2025-12-28 00:52,4.27,0.12,0.0033,-8.0
2025-12-28 05:09,8.07,0.23,0.001,-108.5
2025-12-28 15:56,7.65,0.21,0.0052,-9.9
2025-12-28 23:36,6.12,0.19,-0.0008,-38.1
2025-12-29 09:13,7.64,0.23,-0.0039,-41.2
2025-12-29 19:03,9.77,0.28,0.0033,-27.2
2025-12-30 04:50,10.29,0.28,0.0013,-20.3
2025-12-30 15:10,7.97,0.21,-0.0024,-24.1
2025-12-31 01:32,11.36,0.26,0.0024,-172.0
2025-12-31 16:08,8.54,0.17,0.0048,-41.1
2026-01-01 20:46,12.52,0.23,0.0035,-17.0
2026-01-02 11:35,3.3,0.13,-0.0186,-36.7
2026-01-02 14:57,4.0,0.13,-0.0064,-10.5
2026-01-02 23:07,6.4,0.18,0.0007,-2.3
2026-01-05 09:23,3.75,0.24,-0.0339,-54.4
2026-01-05 14:24,5.17,0.21,-0.0185,-7.8
2026-01-05 22:05,2.15,0.11,-0.0082,-55.8
2026-01-06 07:47,4.1,0.12,0.0024,-5.6
2026-01-06 13:58,4.65,0.17,-0.011,-24.4
2026-01-06 21:51,8.95,0.22,-0.0161,-49.9
2026-01-07 16:24,15.12,0.52,-0.0018,-30.2
2026-01-08 09:50,2.13,0.12,-0.0061,-157.3
2026-01-08 12:05,3.5,0.12,-0.0055,-40.7
2026-01-09 05:22,10.94,0.33,-0.0117,-45.5
2026-01-13 09:35,8.14,0.29,-0.0229,-33.2
2026-01-15 19:49,6.45,0.24,-0.0089,-39.2
2026-01-18 12:03,4.72,0.12,-0.0062,-174.2
2026-02-10 19:55,9.55,0.22,-0.0092,-23.2
2026-02-11 05:33,6.97,0.13,-0.0001,-5.4
2026-02-11 18:42,10.57,0.27,-0.0159,-37.9
2026-02-12 05:22,9.25,0.17,-0.0029,-5.9
2026-02-14 00:15,8.7,0.15,0.003,-3.3
2026-02-14 08:58,4.27,0.1,-0.0075,-128.5
2026-02-14 13:19,7.42,0.14,-0.0032,-27.7
2026-02-15 05:01,5.79,0.12,-0.0074,-14.4
2026-02-23 21:38,6.54,0.13,-0.0006,0.3
2026-02-24 17:59,8.75,0.16,0.0017,-3.2
2026-02-27 10:24,6.67,0.1,0.0019,-2.2
2026-02-28 16:34,4.95,0.12,-0.0066,-21.7
2026-03-02 00:45,7.55,0.11,-0.0011,-2.6
2026-03-03 11:20,2.3,0.41,-0.0027,-1.3
2026-03-03 22:57,5.94,0.13,-0.0125,-9.1
2026-03-04 20:30,5.54,0.12,-0.0053,-23.7
2026-03-05 19:24,7.35,0.15,-0.0101,-30.9
2026-03-06 19:39,18.54,0.29,-0.006,-26.3
2026-03-07 20:54,14.32,0.22,-0.0111,-27.9
2026-03-09 16:21,11.36,0.14,0.0026,-2.4
2026-03-10 05:21,8.39,0.12,-0.0201,-11.1
2026-03-10 13:51,2.08,0.36,0.0015,-0.4
2026-03-14 06:38,7.5,0.12,-0.0115,-8.6
2026-03-16 06:56,2.68,0.43,0.0003,-14.4
2026-03-16 09:53,12.57,0.17,0.0014,-51.1
2026-03-18 13:51,8.74,0.12,-0.0065,-5.6
2026-03-19 07:40,7.02,0.73,-0.0371,-8.9
2026-03-19 14:53,7.15,0.11,0.0006,-124.8
2026-03-20 04:45,9.62,0.15,-0.018,-2.1
2026-03-21 07:17,11.04,0.19,-0.016,-5.8
2026-03-23 14:19,10.19,0.14,-0.0327,-44.9
2026-03-24 08:09,8.34,0.49,0.0138,-1.7
2026-03-25 06:05,13.21,0.17,-0.0081,-8.8
2026-03-27 07:26,8.82,0.68,-0.0121,-14.3
2026-03-27 22:56,7.94,0.15,-0.0105,-40.4
2026-03-29 02:49,20.76,0.29,-0.0104,-17.0
2026-03-30 08:59,12.41,0.16,-0.0113,-6.5
2026-03-30 21:32,14.48,0.15,0.0038,-0.8
2026-03-31 12:45,10.96,0.17,-0.0101,-26.6
2026-03-31 23:52,9.11,0.12,0.0026,-3.0
2026-04-01 21:25,10.47,0.12,-0.0076,-3.8
2026-04-02 13:33,7.27,0.13,-0.0078,-56.2
2026-04-02 20:55,10.64,0.12,0.0007,-8.4
2026-04-03 17:28,5.32,0.1,0.0167,-19.9
2026-04-03 22:58,12.26,0.15,-0.0053,-2.6
2026-04-04 11:17,10.84,0.12,0.0067,-2.7
2026-04-05 00:52,8.29,0.12,-0.0037,-5.2
2026-04-06 04:29,19.63,0.25,-0.0065,-204.8
2026-04-07 00:58,8.32,0.17,0.0011,-20.0
2026-04-07 12:54,6.45,0.24,0.0329,-92.3
2026-04-07 19:22,2.0,0.14,-0.0008,-15.4
2026-04-08 00:11,3.17,0.12,0.012,4.9
2026-04-08 03:24,2.38,0.12,0.0015,-5.9
2026-04-08 05:53,6.07,0.21,0.0258,-0.0
2026-04-08 14:02,7.37,0.25,0.0028,-17.3
2026-04-08 21:25,4.24,0.18,-0.0094,0.8
2026-04-09 02:00,6.19,0.17,0.0228,9.5
2026-04-09 08:14,11.11,0.37,0.0356,-6.5
2026-04-09 19:21,6.85,0.19,0.0191,-12.3
2026-04-10 11:31,6.64,0.17,0.0267,-10.4
2026-04-10 20:38,2.03,0.1,-0.0044,-23.4
2026-04-11 02:31,8.27,0.16,0.0149,-0.4
2026-04-11 10:49,15.88,0.37,0.0186,-11.3
2026-04-12 02:42,15.69,0.34,0.0269,-7.5
2026-04-12 20:03,3.25,0.12,-0.0266,-21.2
2026-04-12 23:30,8.92,0.16,0.0197,-2.4
2026-04-13 13:02,5.79,0.17,0.0144,-24.5
2026-04-13 19:46,11.76,0.18,0.0216,4.4
2026-04-14 07:34,6.77,0.18,-0.0021,-32.5
2026-04-15 03:32,3.84,0.12,-0.0083,-61.7
2026-04-20 13:55,3.39,0.32,0.0123,-16.4
2026-04-20 17:20,4.9,0.19,-0.0045,-95.5
2026-04-21 17:08,6.95,0.23,0.0198,-17.0
2026-04-22 11:11,5.77,0.11,0.0148,0.4
2026-04-22 21:09,15.93,0.36,0.0271,-6.5
2026-04-23 13:46,6.4,0.16,0.0358,-9.0
2026-04-24 08:01,3.62,0.14,0.0197,-8.6
2026-04-24 11:44,5.65,0.11,0.0035,-1.2
2026-04-25 04:00,6.6,0.21,0.0171,-20.4
2026-04-26 21:00,8.64,0.25,0.0216,-16.3
2026-04-27 05:52,9.97,0.31,0.0091,-25.2
2026-04-27 22:32,9.34,0.14,-0.0247,-10.0
2026-04-30 14:50,18.83,0.17,-0.0041,-4.6
2026-05-02 07:09,10.51,0.13,-0.0255,-0.2
2026-05-04 02:19,14.19,0.15,-0.0169,-6.4
2026-05-05 01:27,20.48,0.15,-0.0025,-6.8
2026-07-02 08:44,4.57,0.12,-0.0006,-10.6
2026-07-03 10:07,3.79,0.22,0.006,0.7
2026-07-08 10:39,5.6,0.2,-0.0056,-92.9
2026-07-08 16:24,3.6,0.14,-0.0022,-36.4
2026-07-08 22:50,3.57,0.13,0.013,-12.4
2026-07-09 09:38,25.37,0.59,0.0556,-109.8
2026-07-10 15:37,4.75,0.15,0.0134,-18.1
2026-07-10 22:57,2.74,0.1,0.0107,-17.0
2026-07-11 12:03,3.14,0.11,0.011,-7.9
2026-07-13 09:09,2.67,0.18,-0.0716,47.7
2026-07-14 14:22,2.35,0.21,0.0095,-23.4
2026-07-23 21:16,6.55,0.12,-0.0013,7.0
2026-07-24 07:49,5.04,0.1,0.0133,36.4
2026-07-27 09:24,4.31,0.2,0.0216,-62.4
2026-07-27 16:10,2.87,0.15,-0.0055,-36.7
2026-07-27 19:06,3.34,0.13,0.0039,74.4
2026-07-27 23:19,6.1,0.23,0.0148,-19.0
2026-07-28 09:09,3.29,0.12,0.0188,-3.5
2026-07-28 12:27,3.14,0.13,0.0034,-52.5
2026-07-28 19:26,6.67,0.21,0.0121,-30.3
2026-07-29 03:25,7.99,0.26,0.0407,-56.3
2026-07-29 11:25,7.99,0.24,-0.0075,-117.8
2026-07-29 20:32,7.86,0.18,0.0135,-87.4
2026-07-30 04:25,4.7,0.94,0.014,-62.3
2026-07-30 09:12,2.87,0.15,0.0157,-114.4
2026-07-30 17:08,4.12,0.16,-0.0192,-66.4
2026-07-30 21:16,4.59,0.17,0.0125,-40.5
2026-07-31 04:13,2.72,0.12,0.0036,-55.6
2026-07-31 10:14,2.57,0.12,0.0172,-43.7
2026-07-31 12:52,3.37,0.14,-0.0108,10.0
2026-07-31 16:15,2.03,0.13,0.0004,-56.1
2026-07-31 18:50,4.37,0.13,0.0102,-1.6
2026-07-31 23:13,2.89,0.11,0.0076,-73.3
2026-08-01 02:12,3.15,0.13,0.0094,2.1
2026-08-01 05:58,5.54,0.22,0.0073,-16.1
2026-08-01 14:46,3.82,0.12,0.0107,-5.5
2026-08-01 19:14,3.54,0.13,0.0111,-111.7
2026-08-01 22:50,3.52,0.12,0.0151,1.1
2026-08-02 03:46,4.05,0.12,0.006,-35.4
2026-08-02 12:28,5.74,0.14,0.0118,-10.8
2026-08-02 21:55,4.3,0.14,0.0124,-4.7
2026-08-03 04:36,4.64,0.68,0.0083,-11.6
2026-08-11 03:49,2.65,0.1,-0.0008,-8.4
2026-08-24 04:00,15.33,0.38,0.0349,-11.2
2026-08-24 19:28,8.54,0.14,0.0048,12.2
