起始時刻,群,彎曲量,時長hr,降幅,速率,起壓,CO2中位
2026-04-08 00:11,接近直線,0.04072,3.17,0.12,0.03787,0.84,0.4
2026-04-08 03:24,接近直線,0.08203,2.38,0.12,0.05031,1.06,0.3
2026-04-08 05:53,接近直線,0.00245,6.07,0.21,0.03459,0.93,0.2
2026-04-08 14:02,接近直線,0.01735,7.37,0.25,0.03392,0.97,0.1
2026-04-08 21:25,接近直線,0.04,4.24,0.18,0.04249,1.07,0.1
2026-04-09 02:00,接近直線,0.01499,6.19,0.17,0.02748,0.88,0.0
2026-04-09 08:14,接近直線,0.0864,11.11,0.37,0.03331,1.08,0.0
2026-04-09 19:21,接近直線,0.0362,6.85,0.19,0.02772,1.03,0.0
2026-04-10 11:31,接近直線,-0.03007,6.64,0.17,0.02561,0.92,0.0
2026-04-10 20:38,最彎（先快後慢）,0.25266,2.03,0.1,0.04915,1.08,0.0
2026-04-11 02:31,接近直線,0.0001,8.27,0.16,0.01934,0.87,0.0
2026-04-11 10:49,接近直線,0.08928,15.88,0.37,0.0233,1.08,0.0
2026-04-12 02:42,接近直線,0.09687,15.69,0.34,0.02166,1.07,0.0
2026-04-12 20:03,最彎（先快後慢）,0.20214,3.25,0.12,0.0369,1.09,0.0
2026-04-12 23:30,接近直線,0.06728,8.92,0.16,0.01793,0.96,0.0
2026-04-13 13:02,接近直線,0.10119,5.79,0.17,0.02937,1.07,1.85
2026-04-13 19:46,接近直線,0.03948,11.76,0.18,0.01531,0.89,0.4
2026-04-14 07:34,接近直線,0.08546,6.77,0.18,0.02658,1.07,0.2
2026-04-15 03:32,最彎（先快後慢）,0.24864,3.84,0.12,0.03128,1.09,0.0
2026-04-20 13:55,最彎（先快後慢）,0.32976,3.39,0.32,0.09452,1.03,2.8
2026-04-20 17:20,接近直線,0.06993,4.9,0.19,0.03875,1.07,1.1
2026-04-21 17:08,接近直線,0.05154,6.95,0.23,0.03307,1.06,0.1
2026-04-22 11:11,接近直線,-0.04151,5.77,0.11,0.01906,0.89,0.0
2026-04-22 21:09,接近直線,0.09633,15.93,0.36,0.0226,1.07,0.0
2026-04-23 13:46,接近直線,-0.00915,6.4,0.16,0.02499,1.01,0.0
2026-04-24 08:01,接近直線,0.11072,3.62,0.14,0.03869,1.07,0.0
2026-04-24 11:44,接近直線,0.05874,5.65,0.11,0.01946,0.93,0.0
2026-04-25 04:00,接近直線,0.11882,6.6,0.21,0.0318,1.07,0.0
2026-04-26 21:00,接近直線,0.12473,8.64,0.25,0.02894,1.08,0.0
2026-04-27 05:52,反向彎（先慢後快）,-0.31857,9.97,0.31,0.03108,0.82,0.0
2026-04-27 22:32,接近直線,0.03787,9.34,0.14,0.01499,1.08,0.7
2026-04-30 14:50,接近直線,-0.00989,18.83,0.17,0.00903,1.04,0.7
2026-05-02 07:09,接近直線,0.03753,10.51,0.13,0.01237,1.09,0.0
2026-05-04 02:19,接近直線,0.03564,14.19,0.15,0.01057,1.08,0.0
2026-05-05 01:27,接近直線,0.04878,20.48,0.15,0.00732,0.87,0.0
2026-07-02 08:44,接近直線,-0.04107,4.57,0.12,0.02625,0.84,0.0
2026-07-03 10:07,反向彎（先慢後快）,-0.29564,3.79,0.22,0.05811,1.03,0.0
2026-07-08 10:39,接近直線,0.03337,5.6,0.2,0.03568,1.16,2.1
2026-07-08 16:24,接近直線,0.03509,3.6,0.14,0.03886,0.95,1.1
2026-07-08 22:50,接近直線,0.06076,3.57,0.13,0.03641,1.12,0.6
2026-07-09 09:38,接近直線,0.09365,25.37,0.59,0.02326,0.83,0.1
2026-07-10 15:37,接近直線,0.03723,4.75,0.15,0.03155,0.91,0.0
2026-07-10 22:57,接近直線,0.07213,2.74,0.1,0.03656,1.1,0.0
2026-07-11 12:03,接近直線,0.02753,3.14,0.11,0.03508,1.09,0.0
2026-07-13 09:09,接近直線,0.15721,2.67,0.18,0.06745,1.19,6.1
2026-07-14 14:22,反向彎（先慢後快）,-0.22572,2.35,0.21,0.08932,1.17,3.4
2026-07-23 21:16,接近直線,0.04259,6.55,0.12,0.01831,1.04,0.1
2026-07-24 07:49,接近直線,0.03682,5.04,0.1,0.01985,1.09,0.0
2026-07-27 09:24,接近直線,0.08414,4.31,0.2,0.04645,1.19,2.3
2026-07-27 16:10,接近直線,0.105,2.87,0.15,0.0523,1.19,1.4
2026-07-27 19:06,接近直線,-0.06015,3.34,0.13,0.03897,1.04,1.2
2026-07-27 23:19,接近直線,0.04288,6.1,0.23,0.03767,1.15,0.9
2026-07-28 09:09,接近直線,-0.03597,3.29,0.12,0.03651,1.04,0.4
2026-07-28 12:27,接近直線,0.03089,3.14,0.13,0.04146,1.17,0.3
2026-07-28 19:26,接近直線,0.03691,6.67,0.21,0.03148,1.16,0.1
2026-07-29 03:25,接近直線,0.08749,7.99,0.26,0.03255,1.18,0.0
2026-07-29 11:25,接近直線,0.08864,7.99,0.24,0.03004,1.17,0.0
2026-07-29 20:32,接近直線,0.05254,7.86,0.18,0.02291,1.11,0.0
2026-07-30 04:25,反向彎（先慢後快）,-0.39424,4.7,0.94,0.19986,1.16,0.0
2026-07-30 09:12,最彎（先快後慢）,0.17845,2.87,0.15,0.0523,1.19,3.2
2026-07-30 17:08,接近直線,0.01203,4.12,0.16,0.03884,1.08,1.4
2026-07-30 21:16,接近直線,0.03171,4.59,0.17,0.03707,1.16,1.2
2026-07-31 04:13,接近直線,0.14922,2.72,0.12,0.04414,1.17,0.9
2026-07-31 10:14,接近直線,0.1244,2.57,0.12,0.04673,1.17,0.5
2026-07-31 12:52,接近直線,-0.02009,3.37,0.14,0.04156,1.05,0.3
2026-07-31 16:15,接近直線,0.05629,2.03,0.13,0.06389,1.19,0.2
2026-07-31 18:50,接近直線,0.06694,4.37,0.13,0.02974,1.06,0.1
2026-07-31 23:13,接近直線,0.12957,2.89,0.11,0.03811,1.16,0.1
2026-08-01 02:12,接近直線,0.01418,3.15,0.13,0.04124,1.05,0.1
2026-08-01 05:58,接近直線,0.03931,5.54,0.22,0.03973,1.16,0.0
2026-08-01 14:46,接近直線,0.02549,3.82,0.12,0.03142,1.07,0.0
2026-08-01 19:14,接近直線,0.08919,3.54,0.13,0.03677,1.17,0.0
2026-08-01 22:50,接近直線,-0.02938,3.52,0.12,0.0341,1.04,0.0
2026-08-02 03:46,接近直線,0.03148,4.05,0.12,0.02961,1.11,0.0
2026-08-02 12:28,接近直線,0.02089,5.74,0.14,0.0244,1.07,0.0
2026-08-02 21:55,接近直線,-0.00387,4.3,0.14,0.03253,1.05,0.0
2026-08-03 04:36,反向彎（先慢後快）,-0.38405,4.64,0.68,0.14663,1.08,0.0
2026-08-11 03:49,接近直線,-0.03601,2.65,0.1,0.0377,1.06,0.0
2026-08-24 04:00,接近直線,0.03506,15.33,0.38,0.02479,1.17,0.1
2026-08-24 19:28,接近直線,-0.037,8.54,0.14,0.01639,0.77,0.0
